total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
3.09944e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
6.69956e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.48399,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000118971,0,1.90735e-06,0,1.90735e-06,1,2.86102e-06,1,0,1,0,0,0,0,0,0.01,0.449929,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000188112,0,1.90735e-06,0,9.29832e-06,5,1.04904e-05,5,3.8147e-06,5,1.19209e-06,0,1.81198e-05,4,224,0.01,0.428993,1,5,0,650,4,0,32,4,0,0,1,0:1;1:4;
0.000285149,0,1.90735e-06,0,1.5974e-05,12,2.43187e-05,12,4.76837e-06,12,7.15256e-06,0,5.24521e-05,11,690,0.01,0.267526,1,12,0,1770,11,0,128,11,0,0,1,0:1;1:11;
0.000328064,0,1.90735e-06,0,1.88351e-05,14,2.81334e-05,14,5.96046e-06,14,8.34465e-06,0,5.53131e-05,13,782,0.01,0.226338,1,14,0,2090,13,0,128,13,0,0,1,0:1;1:13;
0.000363111,0,1.90735e-06,0,2.09808e-05,15,3.00407e-05,15,6.91414e-06,15,8.34465e-06,0,5.62668e-05,14,828,0.01,0.121658,1,15,0,2250,14,0,128,14,0,0,1,0:1;1:14;
0.00287199,0.00276899,1.90735e-06,0.00275993,0.00079298,540,0.000910997,493,0.000146151,478,0.00010848,1,0.000479937,477,28526,0.01,0.121658,1,478,1,76330,477,1,4096,477,0,0,1,1:477;
0.00294113,0.00276899,1.90735e-06,0.00275993,0.00079298,540,0.000910997,493,0.000146151,478,0.00010848,1,0.000479937,477,28526,0.01,0.121658,1,478,1,76042,477,1,4096,477,0,0,1,1:471;
0.00303912,0.00276899,6.91414e-06,0.00275993,0.000814676,555,0.000925303,502,0.000149012,485,0.000110388,1,0.000488281,484,28869,0.02,0.120985,2,485,1,77168,483,1,4096,484,0,0,1,1:471;2:7;
